Date,消費電力,最高気温,降水量,日照時間,最大風速,平均風速,平均湿度,平均雲量,天気
2022/7/1,1204,33.8,0,9.2,4.3,2.2,68,3,晴
2022/7/2,1112,34.3,0,13.7,5.7,2.7,67,1.8,晴
2022/7/3,1064,33.3,0,13.8,4.8,2.3,67,7.3,曇
2022/7/4,1213,32.2,14,7,6.5,2.4,80,7.8,晴
2022/7/5,1241,30.3,0,7.9,5.5,2.3,86,7.5,曇
2022/7/6,1162,24.5,1.5,0,5.8,3.3,90,9.3,雨
2022/7/7,1129,25.7,0.5,2.1,4.3,2,86,10,曇
2022/7/8,1154,28,1,6.1,6,3.1,77,8.5,晴
2022/7/9,957,26.7,1.5,0.6,7.1,3.6,84,9,曇
2022/7/10,982,31.2,0,12.2,4.4,2.1,79,7.3,曇
2022/7/11,1210,27.4,0,1.6,6.7,2.9,89,10,曇
2022/7/12,1081,25.5,44,0,4.5,2.2,94,10,曇
2022/7/13,1105,22.7,135.5,0,7.2,3.6,98,10,雨
2022/7/14,1071,24,1.5,0.1,4.9,2.4,88,10,曇
2022/7/15,1013,22.7,35.5,0,4.9,2.2,97,10,雨
2022/7/16,912,24.5,79.5,0,10,3.4,96,10,雨
2022/7/17,890,27.3,1,1.8,5.5,1.7,94,9.5,曇
2022/7/18,1011,30.9,0,6.3,4.6,2.1,80,8.8,晴
2022/7/19,1044,27.7,4.5,0.8,3.2,1.6,87,10,曇
2022/7/20,1093,30.3,0.5,5.9,7.7,3.6,76,9.3,曇
2022/7/21,1098,27.5,0,0.9,4.7,2.4,85,10,曇
2022/7/22,1048,25.2,23,0,7.4,2.5,97,9,雨
2022/7/23,942,29.6,9,5.1,5.5,2.2,88,7.5,晴
2022/7/24,915,29.4,0,8.8,6.4,2.8,80,7.3,晴
2022/7/25,1156,28.3,0,2.3,5,2.4,83,9.5,曇
2022/7/26,1249,30,3,5,4.8,1.9,88,10,曇
2022/7/27,1218,30.3,0,4.3,4.5,2.1,90,9,曇
2022/7/28,1245,31,0,6.4,6.2,2.7,86,7.8,晴
2022/7/29,1282,29.2,0.5,2,4.5,2.2,89,10,曇
2022/7/30,1130,30,0,6,5,2.5,87,8,曇
2022/7/31,1148,36.5,0,12,4.7,1.7,72,5.8,晴
2022/8/1,1335,33.4,0,7.6,5.7,2.5,75,6.5,曇
2022/8/2,1339,36.2,0,3.1,8.6,2.4,76,8,曇
2022/8/3,1130,28.3,20.5,0,5.5,2.1,92,10,雨
2022/8/4,1073,22.6,6.5,0,3.9,2,91,10,雨
2022/8/5,1098,23.8,2.5,0,4.7,2.2,85,10,曇
2022/8/6,970,24,0,0,4.9,2.2,81,10,曇
2022/8/7,934,27.9,0,1.7,3.7,1.8,87,10,曇
2022/8/8,1300,31.6,2,5.4,4.9,1.8,86,9,曇
2022/8/9,1289,36.2,0,7.1,5.3,2.5,68,10,曇
2022/8/10,1270,35.1,0,6.7,6.8,3.1,68,10,曇
2022/8/11,1137,32.4,14.5,2.8,7.2,1.8,84,9.3,曇
2022/8/12,1098,34.4,0,5.6,7.5,3.3,77,10,曇
2022/8/13,973,32.8,0,2.7,10.1,4.1,78,10,曇
2022/8/14,896,29.4,14,3.3,5.4,2.5,92,10,曇
2022/8/15,895,26.8,1.5,0.1,5.3,1.9,94,10,曇
2022/8/16,1012,33.7,5.5,1.8,6.4,2.7,82,10,曇
2022/8/17,1064,31.5,7,7.5,6.6,3.2,74,9.3,曇
2022/8/18,993,28.5,18,2,8.6,3.3,84,7.8,雨
2022/8/19,1097,31.7,0,12.6,7.1,3.3,58,2.8,晴
2022/8/20,931,29,0,1.2,6.9,2.8,77,10,曇
2022/8/21,946,30.5,0,11.7,6.1,2.5,77,3,晴
2022/8/22,1202,28.6,0,7.6,3.9,2.1,84,7,曇
2022/8/23,1254,32,1,4.2,5,2.2,85,9.8,曇
2022/8/24,1102,29,0,2.7,7.7,3,66,9.3,曇
2022/8/25,1032,26.8,0,0.3,5.5,2.4,76,10,曇
2022/8/26,1056,28.3,0,1.4,4.4,2,86,10,曇
2022/8/27,933,29.1,1.5,1.4,8,1.9,86,10,曇
2022/8/28,795,24.1,23.5,1.6,8.5,2.5,90,7.5,雨
2022/8/29,1017,26.7,0,11,6.1,2.5,71,6.3,晴
2022/8/30,979,22.4,24.5,0,3.9,1.2,95,10,雨
2022/8/31,1056,24.3,1.5,0,3.2,1.4,97,10,曇
2022/9/1,1104,29.6,2,1.9,5.1,1.8,88,10,曇
2022/9/2,1055,28.6,1,3.6,7.2,3,78,9,曇
2022/9/3,856,24.5,8.5,0,4.5,2,86,10,曇
2022/9/4,889,22.9,7,0,4.8,2.4,93,10,曇
2022/9/5,1106,23.6,2.5,0,5.4,3.1,95,10,曇
2022/9/6,1192,26.3,0,0.7,11.4,6,93,9.8,曇
2022/9/7,1104,28.2,27.5,0,3.4,1.7,90,9.8,曇
2022/9/8,1000,21.4,16.5,0,5.1,2.3,96,10,雨
2022/9/9,1056,28.4,1.5,4.7,4.4,2.1,83,9.5,晴
2022/9/10,954,29.6,0,11.4,5.9,2.3,74,4.8,晴
2022/9/11,871,27.6,0,8.3,4.2,1.9,75,9,曇
2022/9/12,1113,27.6,0,7.7,5.7,2.6,82,10,曇
2022/9/13,1162,29.1,0,7.2,4.5,1.6,83,9.3,曇
2022/9/14,1140,29.7,0,8.5,7.2,3.1,72,8.5,晴
2022/9/15,1054,25.2,0,5,5.7,3,71,10,曇
2022/9/16,1100,26.6,0,5.2,5.4,2.9,77,9.5,曇
2022/9/17,989,27,0,2.2,7.8,3.1,86,9.5,曇
2022/9/18,949,29.5,0.5,5.3,8.6,4.6,89,9.3,曇
2022/9/19,1105,29.1,0,1.6,10.7,5.2,92,10,曇
