ID,Name
1,Toy Story (1995)
2,GoldenEye (1995)
3,Four Rooms (1995)
4,Get Shorty (1995)
5,Copycat (1995)
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
7,Twelve Monkeys (1995)
8,Babe (1995)
9,Dead Man Walking (1995)
10,Richard III (1995)
11,Seven (Se7en) (1995)
12,"Usual Suspects, The (1995)"
13,Mighty Aphrodite (1995)
14,"Postino, Il (1994)"
15,Mr. Holland's Opus (1995)
16,French Twist (Gazon maudit) (1995)
17,From Dusk Till Dawn (1996)
18,"White Balloon, The (1995)"
19,Antonia's Line (1995)
20,Angels and Insects (1995)
21,Muppet Treasure Island (1996)
22,Braveheart (1995)
23,Taxi Driver (1976)
24,Rumble in the Bronx (1995)
25,"Birdcage, The (1996)"
26,"Brothers McMullen, The (1995)"
27,Bad Boys (1995)
28,Apollo 13 (1995)
29,Batman Forever (1995)
30,Belle de jour (1967)
31,Crimson Tide (1995)
32,Crumb (1994)
33,Desperado (1995)
34,"Doom Generation, The (1995)"
35,Free Willy 2: The Adventure Home (1995)
36,Mad Love (1995)
37,Nadja (1994)
38,"Net, The (1995)"
39,Strange Days (1995)
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
41,Billy Madison (1995)
42,Clerks (1994)
43,Disclosure (1994)
44,Dolores Claiborne (1994)
45,Eat Drink Man Woman (1994)
46,Exotica (1994)
47,Ed Wood (1994)
48,Hoop Dreams (1994)
49,I.Q. (1994)
50,Star Wars (1977)
51,Legends of the Fall (1994)
52,"Madness of King George, The (1994)"
53,Natural Born Killers (1994)
54,Outbreak (1995)
55,"Professional, The (1994)"
56,Pulp Fiction (1994)
57,Priest (1994)
58,Quiz Show (1994)
59,Three Colors: Red (1994)
60,Three Colors: Blue (1993)
61,Three Colors: White (1994)
62,Stargate (1994)
63,"Santa Clause, The (1994)"
64,"Shawshank Redemption, The (1994)"
65,What's Eating Gilbert Grape (1993)
66,While You Were Sleeping (1995)
67,Ace Ventura: Pet Detective (1994)
68,"Crow, The (1994)"
69,Forrest Gump (1994)
70,Four Weddings and a Funeral (1994)
71,"Lion King, The (1994)"
72,"Mask, The (1994)"
73,Maverick (1994)
74,Faster Pussycat! Kill! Kill! (1965)
75,Brother Minister: The Assassination of Malcolm X (1994)
76,Carlito's Way (1993)
77,"Firm, The (1993)"
78,Free Willy (1993)
79,"Fugitive, The (1993)"
80,Hot Shots! Part Deux (1993)
81,"Hudsucker Proxy, The (1994)"
82,Jurassic Park (1993)
83,Much Ado About Nothing (1993)
84,Robert A. Heinlein's The Puppet Masters (1994)
85,"Ref, The (1994)"
86,"Remains of the Day, The (1993)"
87,Searching for Bobby Fischer (1993)
88,Sleepless in Seattle (1993)
89,Blade Runner (1982)
90,So I Married an Axe Murderer (1993)
91,"Nightmare Before Christmas, The (1993)"
92,True Romance (1993)
93,Welcome to the Dollhouse (1995)
94,Home Alone (1990)
95,Aladdin (1992)
96,Terminator 2: Judgment Day (1991)
97,Dances with Wolves (1990)
98,"Silence of the Lambs, The (1991)"
99,Snow White and the Seven Dwarfs (1937)
100,Fargo (1996)
